type,ad-widget,handlers,activity_name
static,com.google.android.gms.ads.AdView|adView|2131230780,[],conversor.conversaotaxas.view.activity.ConfiguracoesActivity
static,com.google.android.gms.ads.AdView|adView|2131230780,[],conversor.conversaotaxas.view.activity.ListarConversoesActivity
static,com.google.android.gms.ads.AdView|adView|2131230780,[],conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
dynamic,android.view.MenuItem|item_menu_salvar|2131230876,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
dynamic,android.view.MenuItem|menu_item_share|2131230894,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
dynamic,android.view.MenuItem|item_menu_calculadora|2131230874,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
dynamic,android.view.MenuItem|item_menu_listar_conversoes|2131230875,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
dynamic,android.view.MenuItem|action_settings|2131230775,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",conversor.conversaotaxas.view.activity.ConversaoMoedaManualActivity
