type,ad-widget,handlers,activity_name
dynamic,android.widget.Button|b1|2131165260,"[{'handlers': ['<com.rr.lordshivawallpapers.MainActivity$3: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$5: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$4: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$2: void onClick(android.view.View)>'], 'event': 'click'}]",com.rr.lordshivawallpapers.MainActivity
dynamic,android.widget.Button|b2|2131165261,"[{'handlers': ['<com.rr.lordshivawallpapers.MainActivity$3: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$5: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$4: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$2: void onClick(android.view.View)>'], 'event': 'click'}]",com.rr.lordshivawallpapers.MainActivity
dynamic,android.widget.Button|b3|2131165262,"[{'handlers': ['<com.rr.lordshivawallpapers.MainActivity$3: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$5: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$4: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$2: void onClick(android.view.View)>'], 'event': 'click'}]",com.rr.lordshivawallpapers.MainActivity
dynamic,android.widget.Button|b4|2131165263,"[{'handlers': ['<com.rr.lordshivawallpapers.MainActivity$3: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$5: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$4: void onClick(android.view.View)>'], 'event': 'click'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity$2: void onClick(android.view.View)>'], 'event': 'click'}]",com.rr.lordshivawallpapers.MainActivity
dynamic,android.view.MenuItem|star|2131165435,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",com.rr.lordshivawallpapers.MainActivity
dynamic,android.view.MenuItem|share|2131165416,"[{'handlers': ['<androidx.appcompat.app.AppCompatActivity: boolean onMenuItemSelected(int,android.view.MenuItem)>'], 'event': 'item_selected'}, {'handlers': ['<com.rr.lordshivawallpapers.MainActivity: boolean onOptionsItemSelected(android.view.MenuItem)>'], 'event': 'item_selected'}]",com.rr.lordshivawallpapers.MainActivity
static,android.widget.FrameLayout|frame|2131165331,[],com.rr.lordshivawallpapers.ShivaActivity
dynamic,android.widget.GridView|simpleGridView|2131165421,"[{'handlers': ['<com.rr.lordshivawallpapers.ShivaActivity$1: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>'], 'event': 'item_click'}]",com.rr.lordshivawallpapers.ShivaActivity
